source_center,destination_center,time_bucket,evaluated_legs,median_carting_eta_min,median_ftl_eta_min,median_ftl_time_saving_min,median_break_even_ftl_premium,median_ftl_net_value,recommended_route_type,evidence_level
IND305901AAA,IND305624AAA,night,1,299.85167082936357,300.0189884989217,-0.16731766955814464,0.0,-500.0,Carting,unsupported: unseen corridor
IND306401AAB,IND302014AAA,morning,6,481.0076364046721,524.450970467613,-42.26507300707007,0.0,-500.0,Carting,low: one mode observed
IND742303AAB,IND741165AAB,evening,5,141.97234968915484,149.72847532574903,-8.038923116845837,0.0,-500.0,Carting,low: one mode observed
IND742303AAB,IND741165AAB,night,1,147.65751277528088,150.681130379471,-3.0236176041901217,0.0,-500.0,Carting,low: one mode observed
IND306401AAB,IND305001AAC,afternoon,2,410.2388096647636,436.8050790727627,-26.5662694079991,0.0,-500.0,Carting,low: one mode observed
IND742401AAA,IND742102AAB,night,5,208.1664008905715,216.25443611738328,-2.96003715044651,0.0,-500.0,Carting,low: one mode observed
IND306401AAB,IND305001AAC,morning,3,414.0589043300877,443.424762307703,-29.97936736790757,0.0,-500.0,Carting,low: one mode observed
IND306401AAB,IND342005AAD,evening,3,159.24509743535975,165.45866950824316,-3.8601944575166556,0.0,-500.0,Carting,low: one mode observed
IND306401AAB,IND343001AAA,evening,2,203.79139458798292,209.04517313652946,-5.253778548546535,0.0,-500.0,Carting,low: one mode observed
IND312001AAA,IND312601AAA,night,2,102.89293861322243,106.4528629499982,-3.5599243367757794,0.0,-500.0,Carting,low: one mode observed
IND312403AAA,IND312001AAA,morning,2,197.23306190697352,201.3557714965277,-4.1227095895541765,0.0,-500.0,Carting,low: one mode observed
IND743513AAA,IND743347AAA,night,4,99.15303297379162,98.7602803247962,-1.0911296424860666,0.0,-500.0,Carting,low: one mode observed
IND751002AAB,IND562132AAA,afternoon,3,2013.0819030705704,2287.7403371370506,-274.65843406648014,0.0,-500.0,Carting,low: one mode observed
IND751002AAB,IND562132AAA,evening,1,1974.717580123218,2228.542778162948,-253.82519803972968,0.0,-500.0,Carting,low: one mode observed
IND751002AAB,IND712311AAA,morning,3,777.4834086790245,853.5508585604885,-76.06744988146397,0.0,-500.0,Carting,low: one mode observed
IND751002AAB,IND754103AAA,afternoon,1,436.77312724256876,437.2135950392743,-0.4404677967055477,0.0,-500.0,Carting,low: one mode observed
IND751002AAB,IND756100AAC,night,2,254.7846116032736,273.80961208902073,-19.025000485747142,0.0,-500.0,Carting,low: one mode observed
IND751002AAB,IND760003AAB,morning,4,417.4982113480397,425.8325353693498,-8.334324021310067,0.0,-500.0,Carting,low: one mode observed
IND312601AAA,IND458664AAA,night,2,175.4314531855801,190.1789076261005,-14.747454440520414,0.0,-500.0,Carting,low: one mode observed
IND312605AAB,IND313001AAB,night,2,359.72679981602835,382.9693109026828,-23.242511086654474,0.0,-500.0,Carting,low: one mode observed
IND313001AAB,IND306401AAB,night,6,313.8081184969681,343.1634286114721,-28.296375581534022,0.0,-500.0,Carting,low: one mode observed
IND313001AAB,IND327001AAB,afternoon,3,644.1992557018496,645.7584862474968,-1.5592305456472104,0.0,-500.0,Carting,low: one mode observed
IND313001AAB,IND327001AAB,morning,1,645.0403168202704,661.3456970003483,-16.30538018007792,0.0,-500.0,Carting,low: one mode observed
IND313001AAB,IND382430AAB,morning,7,487.1886756285902,538.1332560006333,-48.72884433371007,0.0,-500.0,Carting,low: one mode observed
IND754142AAA,IND754211AAA,night,1,78.34421260980083,79.09917026649848,-0.7549576566976413,0.0,-500.0,Carting,low: one mode observed
IND321001AAA,IND301001AAB,night,1,426.85077202132084,451.43777934759504,-24.587007326274204,0.0,-500.0,Carting,low: one mode observed
