source_center,destination_center,route_type,time_bucket,observation_count,median_osrm_time_min,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,median_excess_min,breach_rate,chronic_delay
IND000000ACB,IND201301AAM,Carting,evening,10,84.0,210.0,308.0,2.518154761904762,125.5,1.0,True
IND000000ACB,IND201301AAM,Carting,night,9,81.0,210.0,362.0,2.625,130.0,1.0,True
IND000000ACB,IND209304AAA,FTL,evening,7,321.0,726.0,928.0,2.2429906542056073,399.0,1.0,True
IND000000ACB,IND209304AAA,FTL,night,3,321.0,735.0,928.0,2.289719626168224,414.0,1.0,False
IND000000ACB,IND282002AAD,FTL,morning,3,137.0,282.0,457.0,2.073529411764706,146.0,1.0,False
IND000000ACB,IND301001AAB,FTL,afternoon,4,91.5,156.0,288.5,1.7142857142857144,65.0,1.0,False
IND000000ACB,IND301001AAB,FTL,morning,2,93.5,169.5,376.5,1.8137725920841912,76.0,1.0,False
IND000000ACB,IND301705AAA,FTL,evening,1,56.0,210.0,417.0,3.75,154.0,1.0,False
IND000000ACB,IND302014AAA,FTL,afternoon,1,169.0,357.0,534.0,2.1124260355029585,188.0,1.0,False
IND000000ACB,IND302014AAA,FTL,morning,11,169.0,321.0,693.0,1.8994082840236686,152.0,1.0,True
IND000000ACB,IND302014AAA,FTL,night,12,168.0,321.0,469.0,1.8938739993038636,151.5,1.0,True
IND000000ACB,IND302022AAD,FTL,afternoon,12,169.0,285.0,416.5,1.6834319526627217,115.5,1.0,True
IND000000ACB,IND302022AAD,FTL,evening,2,168.0,298.0,406.5,1.77376607731283,130.0,1.0,False
IND000000ACB,IND328001AAA,FTL,morning,5,198.0,360.0,544.0,1.8181818181818181,162.0,1.0,True
IND000000ACB,IND382430AAB,FTL,afternoon,1,631.0,1128.0,1516.0,1.7876386687797148,497.0,1.0,False
IND000000ACB,IND382430AAB,FTL,evening,12,632.0,1158.0,1362.5,1.8322784810126582,526.0,1.0,True
IND000000ACB,IND390022AAA,FTL,evening,8,695.0,1245.0,1399.5,1.792660626541994,550.5,1.0,True
IND000000ACB,IND411033AAA,FTL,evening,14,1011.0,1765.5,1933.0,1.7488960717818285,756.0,1.0,True
IND000000ACB,IND411033AAA,FTL,night,1,1010.0,1670.0,1758.0,1.6534653465346534,660.0,1.0,False
IND000000ACB,IND421302AAG,FTL,afternoon,10,963.0,1844.0,2162.5,1.9148494288681204,881.0,1.0,True
IND000000ACB,IND421302AAG,FTL,evening,13,963.0,1879.0,2112.0,1.9511941848390446,916.0,1.0,True
IND000000ACB,IND421302AAG,FTL,morning,3,963.0,1922.0,2306.0,1.9958463136033229,959.0,1.0,False
IND000000ACB,IND462022AAA,FTL,night,12,588.5,1088.0,1265.5,1.8471986417657045,499.0,1.0,True
IND000000ACB,IND474003AAA,FTL,morning,2,253.0,1134.5,1371.0,4.475174978127734,881.5,1.0,False
