facility_id,in_degree,out_degree,betweenness_centrality,weighted_betweenness_centrality,clustering_coefficient,weak_component_size,outgoing_legs,outgoing_breaches,outgoing_excess_min,source_dwell_min,incoming_legs,incoming_breaches,incoming_excess_min,throughput_legs,attributed_breaches,attributed_excess_min,facility_name,structural_percentile,weighted_structural_percentile,throughput_percentile,excess_time_percentile,low_redundancy_percentile,sla_breach_contribution_pct,excess_time_contribution_pct,observed_impact_index,bottleneck_score
IND560067AAC,1,1,0.0,0.0,0.0,1263,17.0,17.0,356.0,518.0,7.0,7.0,197.0,24.0,12.0,276.5,Bengaluru_Kadugodi_D (Karnataka),0.18930817610062894,0.18270440251572326,0.7855345911949686,0.4779874213836478,0.7150943396226415,0.06669260267881955,0.013166478574115608,0.008963424316050052,24.048800146620117
IND411017AAA,1,1,0.0,0.0,0.0,2,1.0,1.0,27.0,4.0,23.0,23.0,506.0,24.0,12.0,266.5,PNQ Rahatani DPC (Maharashtra),0.18930817610062894,0.18270440251572326,0.7855345911949686,0.46352201257861636,0.7150943396226415,0.06669260267881955,0.01269029490054904,0.008943808703591783,24.047819365997203
IND412105AAC,1,1,0.0,0.0,0.0,2,23.0,23.0,506.0,667.0,1.0,1.0,27.0,24.0,12.0,266.5,Pune_North_D_3 (Maharashtra),0.18930817610062894,0.18270440251572326,0.7855345911949686,0.46352201257861636,0.7150943396226415,0.06669260267881955,0.01269029490054904,0.008943808703591783,24.047819365997203
IND620020AAA,0,1,0.0,0.0,0.0,10,24.0,24.0,272.0,725.0,0.0,0.0,0.0,24.0,12.0,136.0,Tiruchi (Tamil Nadu),0.18930817610062894,0.18270440251572326,0.7855345911949686,0.2688679245283019,0.7150943396226415,0.06669260267881955,0.006476097960505326,0.008687824961011389,24.035020178868184
IND144401AAB,1,1,0.0,0.0,0.0,1263,13.0,13.0,162.0,161.0,11.0,9.0,99.0,24.0,11.0,130.5,Phagwara_Lovely_D (Punjab),0.18930817610062894,0.18270440251572326,0.7855345911949686,0.26132075471698113,0.7150943396226415,0.06113488578891791,0.006214196940043714,0.00797528198819443,23.999393030227335
IND425409AAA,3,4,0.00041116270074647334,7.926027966197076e-07,0.5263157894736842,1263,9.0,9.0,1210.0,81.0,9.0,9.0,363.0,18.0,9.0,786.5,Shahada_Nandrbar_D (Maharashtra),0.6446540880503144,0.3946540880503145,0.6305031446540881,0.8006289308176101,0.050314465408805034,0.05001945200911465,0.03745184592601058,0.007858557393526972,23.969971894833584
IND275303AAA,1,1,1.347424754253503e-05,1.347424754253503e-05,0.0,12,4.0,4.0,86.0,93.0,4.0,4.0,168.0,8.0,4.0,127.0,Dohrighat_AzmrdDPP_D (Uttar Pradesh),0.49433962264150944,0.48364779874213837,0.2921383647798742,0.2569182389937107,0.7150943396226415,0.022230867559606515,0.006047532654295415,0.00305613582207965,23.937397986072533
IND799250AAA,1,1,0.0004101719472506987,0.0004101719472506987,0.0,1263,1.0,1.0,214.0,22.0,1.0,1.0,256.0,2.0,1.0,235.0,Dharmanagr_Ranakant_D (Tripura),0.6342767295597485,0.6072327044025158,0.07610062893081761,0.42735849056603775,0.7150943396226415,0.005557716889901629,0.01119031632881435,0.0011627212787342052,23.937066881546777
IND713145AAB,1,1,0.0004101719472506987,0.0004101719472506987,0.0,1263,1.0,1.0,9.0,3.0,1.0,1.0,82.0,2.0,1.0,45.5,Manteswar_MemariRD_D (West Bengal),0.6342767295597485,0.6072327044025158,0.07610062893081761,0.10125786163522013,0.7150943396226415,0.005557716889901629,0.002166635714727885,0.0007910054226500308,23.918481088742567
IND152024AAA,1,1,0.0004101719472506987,0.0004101719472506987,0.0,1263,1.0,1.0,33.0,16.0,1.0,1.0,22.0,2.0,1.0,27.5,Jalalabad_Muktsar_D (Punjab),0.6342767295597485,0.6072327044025158,0.07610062893081761,0.057547169811320756,0.7150943396226415,0.005557716889901629,0.0013095051023080623,0.0007556973202251488,23.916715683621323
