data,trip_uuid,source_center,destination_center,od_start_time,trip_creation_time,route_schedule_uuid,route_type,source_name,destination_name,od_end_time,actual_elapsed_min,actual_distance_km,actual_movement_min,osrm_time_min,osrm_distance_km,checkpoint_count,minimum_segment_actual_min,dwell_time_min,movement_delay_ratio,elapsed_delay_ratio,movement_excess_min,departure_hour,departure_weekday,is_weekend,time_bucket,has_negative_segment,is_model_eligible
training,trip-153726074330796694,IND342601AAA,IND342902AAA,2018-09-19 05:01:49.958915,2018-09-18 08:52:23.308328,thanos::sroute:6c488175-9e94-44b2-b01a-69621bf9406a,FTL,Piparcity_BsstdDPP_D (Rajasthan),Gotan_DKLogDPP_D (Rajasthan),2018-09-19 06:44:38.167347,102.0,30.69673469542287,67.0,35.0,34.1729,2,15.0,35.0,1.9142857142857144,2.914285714285714,32.0,5,2,0,night,0,True
training,trip-153726074330796694,IND342902AAA,IND302014AAA,2018-09-19 06:44:38.167347,2018-09-18 08:52:23.308328,thanos::sroute:6c488175-9e94-44b2-b01a-69621bf9406a,FTL,Gotan_DKLogDPP_D (Rajasthan),Jaipur_Hub (Rajasthan),2018-09-19 15:47:39.884095,543.0,210.1519274674183,458.0,192.0,250.2601,10,23.0,85.0,2.3854166666666665,2.828125,266.0,6,2,0,morning,0,True
training,trip-153726112557892388,IND610001AAA,IND614715AAA,2018-09-18 08:58:45.579380,2018-09-18 08:58:45.579380,thanos::sroute:c75d1203-985d-4add-be9c-d4e37072c5d3,Carting,Thiruvarur_Bypasrd_D (Tamil Nadu),Thirthurpondi_Madaprum_D (Tamil Nadu),2018-09-18 10:04:03.050803,65.0,23.22071212729869,48.0,25.0,27.7661,3,8.0,17.0,1.92,2.6,23.0,8,1,0,morning,0,True
training,trip-153726112557892388,IND614715AAA,IND614809AAA,2018-09-18 10:04:03.050803,2018-09-18 08:58:45.579380,thanos::sroute:c75d1203-985d-4add-be9c-d4e37072c5d3,Carting,Thirthurpondi_Madaprum_D (Tamil Nadu),Pushpavanam_Thmpulam_D (Tamil Nadu),2018-09-18 11:02:17.709325,58.0,24.12772109224841,50.0,38.0,32.743700000000004,3,10.0,8.0,1.3157894736842106,1.5263157894736843,12.0,10,1,0,morning,0,True
training,trip-153726112557892388,IND614809AAA,IND610001AAA,2018-09-18 11:02:17.709325,2018-09-18 08:58:45.579380,thanos::sroute:c75d1203-985d-4add-be9c-d4e37072c5d3,Carting,Pushpavanam_Thmpulam_D (Tamil Nadu),Thiruvarur_Bypasrd_D (Tamil Nadu),2018-09-18 13:08:19.022028,126.0,38.15930811715631,116.0,44.0,55.314800000000005,5,8.0,10.0,2.6363636363636362,2.8636363636363638,72.0,11,1,0,morning,0,True
training,trip-153726121217022464,IND560083AAB,IND562132AAA,2018-09-18 09:00:06.945156,2018-09-18 09:00:06.945156,thanos::sroute:5fc9d470-e60b-4990-a6a2-510ea8553ced,Carting,Bengaluru_Bnnrghta_L (Karnataka),Bangalore_Nelmngla_H (Karnataka),2018-09-18 12:26:45.659560,206.0,32.00993847772238,64.0,44.0,41.4414,3,8.0,142.0,1.4545454545454546,4.681818181818182,20.0,9,1,0,morning,0,True
training,trip-153726133883786252,IND562132AAA,IND560083AAB,2018-09-18 09:02:02.895500,2018-09-18 09:02:02.895500,thanos::sroute:34b3abb5-f538-4f43-bbeb-5b12c1ac349d,Carting,Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bnnrghta_L (Karnataka),2018-09-18 13:36:40.937096,274.0,30.36151899381277,193.0,44.0,47.1175,4,12.0,81.0,4.386363636363637,6.2272727272727275,149.0,9,1,0,morning,0,True
training,trip-153726156653486722,IND562132AAA,IND573201AAB,2018-09-18 09:06:02.999976,2018-09-18 09:06:02.999976,thanos::sroute:1be4d489-68d5-482d-ae98-c40e0a2a745c,FTL,Bangalore_Nelmngla_H (Karnataka),Hassan_Pandrnga_I (Karnataka),2018-09-18 15:03:38.078453,357.0,145.0132151919225,191.0,136.0,167.6274,7,20.0,166.0,1.4044117647058822,2.625,55.0,9,1,0,morning,0,True
training,trip-153726156653486722,IND573201AAB,IND575004AAB,2018-09-18 15:03:38.078453,2018-09-18 09:06:02.999976,thanos::sroute:1be4d489-68d5-482d-ae98-c40e0a2a745c,FTL,Hassan_Pandrnga_I (Karnataka),Mangalore_Kuntikna_H (Karnataka),2018-09-18 22:38:53.010945,455.0,138.41824381822002,395.0,125.0,173.86929999999998,7,20.0,60.0,3.16,3.64,270.0,15,1,0,afternoon,0,True
training,trip-153726186330024952,IND131021AAA,IND131028AAA,2018-09-18 09:11:03.300468,2018-09-18 09:11:03.300468,thanos::sroute:2d38f86c-9e81-44c3-88ff-f2c6ac3358d2,Carting,Sonipat_AmzonDev_V (Haryana),Sonipat_Kundli_P (Haryana),2018-09-18 10:11:24.125589,60.0,12.90649106480016,25.0,12.0,13.9207,2,0.0,35.0,2.0833333333333335,5.0,13.0,9,1,0,morning,0,True
training,trip-153726242174705467,IND411033AAA,IND431136AAC,2018-09-18 09:20:21.747324,2018-09-18 09:20:21.747324,thanos::sroute:4a08696a-9cec-4355-8dd7-7580f993a592,FTL,Pune_Tathawde_H (Maharashtra),Aurangabad_Central_H_1 (Maharashtra),2018-09-18 17:12:41.835002,472.0,203.1308485266906,386.0,173.0,237.5583,10,19.0,86.0,2.23121387283237,2.7283236994219653,213.0,9,1,0,morning,0,True
training,trip-153726299485371297,IND683511AAA,IND562132AAA,2018-09-18 09:29:54.854084,2018-09-18 09:29:54.854084,thanos::sroute:3fdf6816-d93f-47d7-80b4-d039fb68c828,FTL,Aluva_Peedika_H (Kerala),Bangalore_Nelmngla_H (Karnataka),2018-09-19 00:54:41.223360,924.0,348.7219812616645,782.0,427.0,483.9531,16,28.0,142.0,1.8313817330210773,2.1639344262295084,355.0,9,1,0,morning,0,True
training,trip-153726304828268339,IND503111AAC,IND501359AAE,2018-09-18 23:44:12.163589,2018-09-18 09:30:48.282950,thanos::sroute:e802cb37-1810-4157-9500-d000cd6b8dd7,FTL,Kamareddy_Devenply_I (Telangana),Hyderabad_Shamshbd_H (Telangana),2018-09-19 04:18:31.144335,274.0,120.57565515653124,230.0,103.0,137.9109,6,16.0,44.0,2.233009708737864,2.6601941747572817,127.0,23,1,0,evening,0,True
training,trip-153726345021812127,IND000000ACB,IND131028AAB,2018-09-18 09:37:30.218416,2018-09-18 09:37:30.218416,thanos::sroute:10001c4b-edad-47e1-9c5b-caca93ba3a1f,Carting,Gurgaon_Bilaspur_HB (Haryana),Sonipat_Kundli_H (Haryana),2018-09-18 15:45:00.043085,367.0,72.04664316291668,236.0,99.0,88.3991,9,11.0,131.0,2.3838383838383836,3.707070707070707,137.0,9,1,0,morning,0,True
training,trip-153726438288340256,IND560099AAB,IND560300AAA,2018-09-18 09:53:02.883690,2018-09-18 09:53:02.883690,thanos::sroute:8fa95fb6-1cf5-4fbd-aa64-04418b2a6d65,Carting,Bengaluru_Bomsndra_HB (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),2018-09-18 13:29:19.997024,216.0,42.15939674577497,166.0,59.0,63.131,5,22.0,50.0,2.8135593220338984,3.6610169491525424,107.0,9,1,0,morning,0,True
training,trip-153726458684875072,IND473331AAA,IND473226AAA,2018-09-18 12:31:19.010654,2018-09-18 09:56:26.849086,thanos::sroute:79df6f66-f60f-4238-9b4c-11dd1b75531e,FTL,Ashokngr_Bypassrd_D (Madhya Pradesh),Guna_Raghogrh_D (Madhya Pradesh),2018-09-19 07:17:07.845922,1125.0,53.85111562397553,1055.0,80.0,76.0545,1,1055.0,70.0,13.1875,14.0625,975.0,12,1,0,afternoon,0,True
training,trip-153726477271073394,IND181152AAA,IND184121AAA,2018-09-19 08:57:49.051468,2018-09-18 09:59:32.711062,thanos::sroute:9e82b6d4-e07b-4a74-bfe0-7c72f28a275f,FTL,Jammu_TrnptNgr_L (Jammu & Kashmir),Samba_Wardno13_D (Jammu & Kashmir),2018-09-19 10:02:10.220756,64.0,27.501950016231763,41.0,33.0,37.7497,2,13.0,23.0,1.2424242424242424,1.9393939393939394,8.0,8,2,0,morning,0,True
training,trip-153726477271073394,IND184121AAA,IND184104AAA,2018-09-19 10:02:10.220756,2018-09-18 09:59:32.711062,thanos::sroute:9e82b6d4-e07b-4a74-bfe0-7c72f28a275f,FTL,Samba_Wardno13_D (Jammu & Kashmir),Kathua_BOB_D (Jammu & Kashmir),2018-09-19 11:29:52.575949,87.0,40.3396841790962,77.0,38.0,41.0848,2,26.0,10.0,2.026315789473684,2.289473684210526,39.0,10,2,0,morning,0,True
training,trip-153726477271073394,IND184104AAA,IND160002AAC,2018-09-19 11:29:52.575949,2018-09-18 09:59:32.711062,thanos::sroute:9e82b6d4-e07b-4a74-bfe0-7c72f28a275f,FTL,Kathua_BOB_D (Jammu & Kashmir),Chandigarh_Mehmdpur_H (Punjab),2018-09-19 18:49:35.133400,439.0,247.3615936177903,417.0,229.0,301.0496,11,21.0,22.0,1.8209606986899562,1.9170305676855894,188.0,11,2,0,morning,0,True
training,trip-153726512456809656,IND121001AAA,IND121004AAB,2018-09-18 10:05:24.568432,2018-09-18 10:05:24.568432,thanos::sroute:f282e81f-e1a7-4dce-840c-001ecd35199f,Carting,Faridabad (Haryana),FBD_Balabhgarh_DPC (Haryana),2018-09-18 11:09:38.551809,64.0,9.684084442726633,49.0,11.0,12.5636,2,2.0,15.0,4.454545454545454,5.818181818181818,38.0,10,1,0,morning,0,True
training,trip-153726565414499284,IND232101AAB,IND232104AAB,2018-09-19 01:19:29.297286,2018-09-18 10:14:14.145269,thanos::sroute:6e050796-4cb9-4e04-a80f-816fde354680,Carting,MughalSarai_Central_D_2 (Uttar Pradesh),Chandauli_ShubsNGR_D (Uttar Pradesh),2018-09-19 02:46:30.462198,87.0,12.741076618729894,51.0,11.0,13.3754,2,23.0,36.0,4.636363636363637,7.909090909090909,40.0,1,2,0,night,0,True
training,trip-153726580275317593,IND160002AAC,IND000000ACB,2018-09-18 10:16:42.753444,2018-09-18 10:16:42.753444,thanos::sroute:e2f5faaa-455a-494b-a501-549c3e3081ec,FTL,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana),2018-09-18 22:53:00.262682,756.0,237.24647474030888,545.0,212.0,280.9698,11,23.0,211.0,2.5707547169811322,3.5660377358490565,333.0,10,1,0,morning,0,True
training,trip-153726634820273009,IND275503AAA,IND275303AAA,2018-09-19 04:02:55.751920,2018-09-18 10:25:48.203125,thanos::sroute:ec681cd9-6944-4be9-94cc-efa0d8d169e2,FTL,Ghosi_Jamalpur_D (Uttar Pradesh),Dohrighat_AzmrdDPP_D (Uttar Pradesh),2018-09-19 05:21:29.134635,78.0,18.388704742774813,54.0,13.0,18.5675,1,54.0,24.0,4.153846153846154,6.0,41.0,4,2,0,night,0,True
training,trip-153726634820273009,IND275303AAA,IND276140AAA,2018-09-19 05:21:29.134635,2018-09-18 10:25:48.203125,thanos::sroute:ec681cd9-6944-4be9-94cc-efa0d8d169e2,FTL,Dohrighat_AzmrdDPP_D (Uttar Pradesh),Jiyanpur_Central_DPP_1 (Uttar Pradesh),2018-09-19 06:10:15.674836,48.0,21.4969573269576,48.0,16.0,23.1089,1,48.0,0.0,3.0,3.0,32.0,5,2,0,night,0,True
training,trip-153726637956232191,IND421302AAG,IND400102AAC,2018-09-18 10:26:19.562673,2018-09-18 10:26:19.562673,thanos::sroute:c9035b9e-78e2-4ffe-831b-d8734fa79868,Carting,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Jogshwri_I (Maharashtra),2018-09-18 18:03:45.074704,457.0,22.686769359338346,333.0,29.0,32.681200000000004,1,333.0,124.0,11.482758620689655,15.758620689655173,304.0,10,1,0,morning,0,True
training,trip-153726646287232095,IND000000ACB,IND302014AAA,2018-09-18 10:27:42.872583,2018-09-18 10:27:42.872583,thanos::sroute:b9622248-4dfb-4964-8f1d-ec5f83f5013e,FTL,Gurgaon_Bilaspur_HB (Haryana),Jaipur_Hub (Rajasthan),2018-09-18 22:07:26.687675,699.0,195.6844795142342,321.0,169.0,221.603,9,29.0,378.0,1.8994082840236686,4.136094674556213,152.0,10,1,0,morning,0,True
training,trip-153726659780927536,IND411036AAA,IND411033AAA,2018-09-18 10:29:57.809666,2018-09-18 10:29:57.809666,thanos::sroute:fce10d1e-0746-4ee9-9840-a122096ddf5f,Carting,Pune_Mundhawa_L (Maharashtra),Pune_Tathawde_H (Maharashtra),2018-09-18 14:35:56.529431,245.0,21.404346842676624,98.0,26.0,29.0988,3,16.0,147.0,3.769230769230769,9.423076923076923,72.0,10,1,0,morning,0,True
