source_center,destination_center,observation_count,trip_count,route_type_count,median_osrm_time_min,median_osrm_distance_km,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,mean_movement_delay_ratio,median_excess_min,total_excess_min,breach_rate,chronic_delay,sla_breach_contribution_pct,corridor_priority_score,recommended_intervention
IND110095AAB,IND000000ACB,1,1,1,71.0,71.6641,108.0,165.0,1.5211267605633803,1.5211267605633803,37.0,37.0,1.0,False,0.005557716889901629,11.344696969696969,Monitor; current evidence does not justify capital action
IND148101AAA,IND148102AAA,2,2,1,22.0,24.009999999999998,30.0,56.5,1.3636363636363635,1.3636363636363635,8.0,16.0,1.0,False,0.011115433779803258,11.283891547049443,Monitor; current evidence does not justify capital action
IND695572AAB,IND000000AFJ,1,1,1,26.0,22.0203,44.0,66.0,1.6923076923076923,1.6923076923076923,18.0,18.0,1.0,False,0.005557716889901629,11.232057416267944,Monitor; current evidence does not justify capital action
IND335501AAA,IND331701AAA,1,1,1,21.0,23.5577,36.0,60.0,1.7142857142857142,1.7142857142857142,15.0,15.0,1.0,False,0.005557716889901629,11.213118022328548,Monitor; current evidence does not justify capital action
IND531001AAA,IND531116AAA,1,1,1,36.0,42.337,59.0,95.0,1.6388888888888888,1.6388888888888888,23.0,23.0,1.0,False,0.005557716889901629,11.184210526315788,Monitor; current evidence does not justify capital action
IND504293AAA,IND504208AAB,1,1,1,55.0,60.2246,86.0,119.0,1.5636363636363637,1.5636363636363637,31.0,31.0,1.0,False,0.005557716889901629,11.156299840510368,Monitor; current evidence does not justify capital action
IND815353AAA,IND814112AAA,2,2,1,39.0,38.960300000000004,49.0,79.0,1.2564102564102564,1.2564102564102564,10.0,20.0,1.0,False,0.011115433779803258,11.091507177033494,Monitor; current evidence does not justify capital action
IND272155AAA,IND272001AAA,2,2,1,24.5,32.8724,32.5,53.5,1.3258333333333334,1.3258333333333334,8.0,16.0,1.0,False,0.011115433779803258,10.835326953748007,Monitor; current evidence does not justify capital action
IND282002AAD,IND205001AAB,2,2,1,234.0,294.4162,245.5,252.0,1.0491452991452992,1.0491452991452992,12.0,24.0,0.0,False,0.0,10.803429027113237,Monitor; current evidence does not justify capital action
IND577116AAA,IND577101AAA,3,3,1,40.0,45.1881,42.0,46.0,0.925,0.9802025269416573,0.0,4.0,0.0,False,0.0,10.66487240829346,Monitor; current evidence does not justify capital action
IND184104AAA,IND181152AAB,1,1,1,71.0,78.2089,106.0,123.0,1.4929577464788732,1.4929577464788732,35.0,35.0,1.0,False,0.005557716889901629,10.611044657097288,Monitor; current evidence does not justify capital action
IND508116AAA,IND508223AAA,1,1,1,59.0,83.4561,90.0,96.0,1.5254237288135593,1.5254237288135593,31.0,31.0,1.0,False,0.005557716889901629,10.608054226475279,Monitor; current evidence does not justify capital action
IND815301AAA,IND815353AAA,1,1,1,36.0,50.3503,58.0,82.0,1.6111111111111112,1.6111111111111112,22.0,22.0,1.0,False,0.005557716889901629,10.598086124401913,Monitor; current evidence does not justify capital action
IND591126AAA,IND591102AAA,1,1,1,30.0,32.6483,49.0,55.0,1.6333333333333333,1.6333333333333333,19.0,19.0,1.0,False,0.005557716889901629,10.542264752791068,Monitor; current evidence does not justify capital action
IND122004AAA,IND000000ACB,1,1,1,34.0,35.6947,55.0,196.0,1.6176470588235294,1.6176470588235294,21.0,21.0,1.0,False,0.005557716889901629,10.530303030303031,Monitor; current evidence does not justify capital action
IND638452AAA,IND638501AAB,2,2,1,25.0,23.43575,32.5,52.5,1.294871794871795,1.294871794871795,7.5,15.0,0.5,False,0.005557716889901629,10.487440191387561,Monitor; current evidence does not justify capital action
IND686507AAA,IND686540AAA,1,1,1,26.0,26.7197,43.0,77.0,1.6538461538461537,1.6538461538461537,17.0,17.0,1.0,False,0.005557716889901629,10.48744019138756,Monitor; current evidence does not justify capital action
IND712612AAA,IND722154AAA,1,1,1,19.0,19.4711,32.0,63.0,1.6842105263157894,1.6842105263157894,13.0,13.0,1.0,False,0.005557716889901629,10.299043062200957,Monitor; current evidence does not justify capital action
IND518124AAA,IND518002AAA,1,1,1,71.0,80.2581,105.0,257.0,1.4788732394366197,1.4788732394366197,34.0,34.0,1.0,False,0.005557716889901629,10.293062200956937,Monitor; current evidence does not justify capital action
IND581314AAA,IND581334AAA,1,1,1,56.0,59.4354,85.0,110.0,1.5178571428571428,1.5178571428571428,29.0,29.0,1.0,False,0.005557716889901629,10.227272727272727,Monitor; current evidence does not justify capital action
IND756045AAB,IND756019AAA,1,1,1,16.0,23.0528,27.0,49.0,1.6875,1.6875,11.0,11.0,1.0,False,0.005557716889901629,10.164473684210526,Monitor; current evidence does not justify capital action
IND689650AAA,IND690548AAA,1,1,1,41.0,41.879,64.0,75.0,1.5609756097560976,1.5609756097560976,23.0,23.0,1.0,False,0.005557716889901629,10.147527910685806,Monitor; current evidence does not justify capital action
IND695614AAA,IND695609AAA,2,2,1,19.0,15.292000000000002,24.5,47.5,1.2894736842105263,1.2894736842105263,5.5,11.0,1.0,False,0.011115433779803258,9.952153110047847,Monitor; current evidence does not justify capital action
IND712410AAC,IND712406AAA,2,2,1,41.0,37.41235,48.5,79.0,1.1829268292682926,1.1829268292682926,7.5,15.0,0.0,False,0.0,9.889354066985646,Monitor; current evidence does not justify capital action
IND531116AAA,IND531001AAA,1,1,1,43.0,48.3598,66.0,94.0,1.5348837209302326,1.5348837209302326,23.0,23.0,1.0,False,0.005557716889901629,9.768740031897927,Monitor; current evidence does not justify capital action
IND503111AAC,IND505001AAB,1,1,1,89.0,97.1468,125.0,178.0,1.404494382022472,1.404494382022472,36.0,36.0,1.0,False,0.005557716889901629,9.760765550239233,Monitor; current evidence does not justify capital action
